id,produto,marca,avaliacao,preco
1,Tablet,Sony,3.3,614.99
2,Monitor,Dell,1.8,971.93
3,Tablet,Samsung,3.8,1456.98
4,Smartwatch,Apple,2.8,1390.04
5,Printer,Sony,1.7,169.3
6,Smartphone,Lenovo,4.7,1877.75
7,Camera,Sony,2.1,1498.3
8,Smartwatch,Asus,1.1,798.56
9,Monitor,Apple,2.3,1827.58
10,Laptop,Dell,4.4,838.1
11,Smartwatch,LG,4.1,1885.93
12,Tablet,Apple,2.4,1957.42
13,Tablet,Sony,3.0,586.53
14,Smartwatch,Sony,1.1,1361.75
15,Headphone,Dell,3.1,1954.63
16,Printer,LG,4.9,464.35
17,Laptop,HP,4.5,430.51
18,Headphone,Lenovo,1.0,407.95
19,Tablet,Lenovo,1.0,1019.74
20,Printer,Samsung,1.2,1301.45
21,Laptop,LG,2.6,66.34
22,Headphone,Sony,4.1,1293.46
23,Printer,Lenovo,2.4,1753.18
24,Printer,Samsung,2.4,1836.53
25,Monitor,Lenovo,1.2,1088.48
26,Laptop,Apple,3.0,57.66
27,Smartphone,Dell,1.8,1841.14
28,Printer,Lenovo,4.0,997.02
29,Smartwatch,Asus,1.8,783.13
30,Tablet,Sony,4.1,349.96
31,Monitor,Dell,3.8,1884.08
32,Smartphone,Samsung,2.0,656.46
33,Camera,Samsung,1.8,1087.76
34,Monitor,Sony,3.2,907.44
35,Camera,Samsung,5.0,243.73
36,Headphone,Dell,3.0,1951.01
37,Smartphone,Lenovo,3.7,1493.15
38,Laptop,HP,1.7,1445.49
39,Headphone,Lenovo,1.1,291.58
40,Headphone,Asus,3.8,1432.13
41,Smartwatch,Lenovo,3.8,664.05
42,Smartwatch,Sony,2.3,1981.39
43,Laptop,Apple,1.5,1840.87
44,Headphone,LG,4.7,1056.76
45,Smartwatch,Asus,2.3,539.93
46,Smartwatch,Dell,3.7,1378.53
47,Headphone,Dell,1.2,881.17
48,Monitor,Lenovo,1.1,235.83
49,Smartphone,Asus,1.3,533.79
50,Laptop,Sony,2.3,1153.44
51,Smartphone,Samsung,2.5,809.63
52,Laptop,LG,1.1,930.47
53,Tablet,Apple,1.0,1636.72
54,Camera,Samsung,2.5,705.8
55,Smartwatch,Samsung,2.5,162.37
56,Tablet,Asus,2.1,1323.08
57,Tablet,Sony,3.3,700.87
58,Tablet,Apple,3.7,196.49
59,Printer,Samsung,1.0,787.62
60,Laptop,Apple,2.7,1695.35
61,Monitor,Dell,4.4,647.26
62,Headphone,Samsung,3.6,895.11
63,Monitor,Lenovo,2.4,941.35
64,Headphone,HP,2.5,947.27
65,Headphone,HP,2.7,858.92
66,Camera,Samsung,4.8,98.13
67,Printer,Sony,4.3,906.59
68,Smartwatch,LG,2.0,1951.76
69,Laptop,Asus,3.0,1354.76
70,Smartwatch,Dell,3.5,649.18
71,Camera,Dell,4.9,1222.08
72,Smartwatch,Asus,3.6,767.08
73,Printer,Lenovo,4.0,837.42
74,Monitor,Dell,3.7,919.51
75,Smartwatch,Apple,2.5,1020.22
76,Headphone,Asus,3.0,1183.4
77,Headphone,Apple,2.4,1044.06
78,Laptop,Asus,3.9,974.29
79,Monitor,Apple,2.7,283.58
80,Headphone,Samsung,1.3,300.96
81,Camera,Apple,2.1,1861.54
82,Headphone,LG,1.1,1147.74
83,Smartwatch,Asus,1.0,432.01
84,Headphone,Asus,4.0,852.45
85,Monitor,LG,3.1,1865.46
86,Smartwatch,Dell,1.9,1222.0
87,Printer,Dell,4.5,1829.0
88,Headphone,Asus,2.8,1325.15
89,Camera,Samsung,4.2,464.32
90,Printer,Lenovo,3.8,1534.25
91,Monitor,HP,2.9,1470.81
92,Camera,HP,3.0,774.05
93,Smartwatch,Lenovo,2.7,1479.02
94,Printer,LG,4.2,1226.55
95,Laptop,LG,2.9,861.51
96,Printer,Asus,2.8,1556.5
97,Camera,Sony,3.7,479.33
98,Tablet,HP,4.3,1004.53
99,Headphone,Samsung,2.1,997.4
100,Monitor,Asus,1.6,1034.29
101,Smartwatch,Sony,4.1,269.14
102,Printer,HP,2.7,1472.33
103,Printer,Dell,1.2,1835.11
104,Camera,Apple,1.5,1991.69
105,Laptop,Sony,2.1,723.66
106,Smartwatch,Apple,3.5,1704.02
107,Camera,LG,4.9,1306.73
108,Smartphone,Dell,1.8,1608.87
109,Smartphone,Dell,2.6,1766.86
110,Tablet,Sony,4.8,206.84
111,Printer,HP,1.8,1970.64
112,Smartwatch,Apple,2.5,770.16
113,Tablet,LG,1.1,215.96
114,Smartwatch,Lenovo,3.4,1222.15
